regime,timestep,gamma,noise_sigma,trajectory_length,spatial_points,information_dimension,reference_gamma,representation,environment_conditioned
heavy_dissipation,94,0.35,0.15,100,128,6,0.0,R + full_information_amplitude,True
heavy_dissipation,95,0.35,0.15,100,128,6,0.0,R + full_information_amplitude,True
heavy_dissipation,96,0.35,0.15,100,128,6,0.0,R + full_information_amplitude,True
heavy_dissipation,97,0.35,0.15,100,128,6,0.0,R + full_information_amplitude,True
heavy_dissipation,98,0.35,0.15,100,128,6,0.0,R + full_information_amplitude,True
collapse,0,0.5,0.65,100,128,6,0.0,R + full_information_amplitude,True
collapse,1,0.5,0.65,100,128,6,0.0,R + full_information_amplitude,True
collapse,2,0.5,0.65,100,128,6,0.0,R + full_information_amplitude,True
collapse,3,0.5,0.65,100,128,6,0.0,R + full_information_amplitude,True
collapse,4,0.5,0.65,100,128,6,0.0,R + full_information_amplitude,True
collapse,5,0.5,0.65,100,128,6,0.0,R + full_information_amplitude,True
collapse,6,0.5,0.65,100,128,6,0.0,R + full_information_amplitude,True
collapse,7,0.5,0.65,100,128,6,0.0,R + full_information_amplitude,True
collapse,8,0.5,0.65,100,128,6,0.0,R + full_information_amplitude,True
collapse,9,0.5,0.65,100,128,6,0.0,R + full_information_amplitude,True
collapse,10,0.5,0.65,100,128,6,0.0,R + full_information_amplitude,True
collapse,11,0.5,0.65,100,128,6,0.0,R + full_information_amplitude,True
collapse,12,0.5,0.65,100,128,6,0.0,R + full_information_amplitude,True
collapse,13,0.5,0.65,100,128,6,0.0,R + full_information_amplitude,True
collapse,14,0.5,0.65,100,128,6,0.0,R + full_information_amplitude,True
collapse,15,0.5,0.65,100,128,6,0.0,R + full_information_amplitude,True
collapse,16,0.5,0.65,100,128,6,0.0,R + full_information_amplitude,True
collapse,17,0.5,0.65,100,128,6,0.0,R + full_information_amplitude,True
collapse,18,0.5,0.65,100,128,6,0.0,R + full_information_amplitude,True
collapse,19,0.5,0.65,100,128,6,0.0,R + full_information_amplitude,True
collapse,20,0.5,0.65,100,128,6,0.0,R + full_information_amplitude,True
collapse,21,0.5,0.65,100,128,6,0.0,R + full_information_amplitude,True
collapse,22,0.5,0.65,100,128,6,0.0,R + full_information_amplitude,True
collapse,23,0.5,0.65,100,128,6,0.0,R + full_information_amplitude,True
collapse,24,0.5,0.65,100,128,6,0.0,R + full_information_amplitude,True
collapse,25,0.5,0.65,100,128,6,0.0,R + full_information_amplitude,True
collapse,26,0.5,0.65,100,128,6,0.0,R + full_information_amplitude,True
collapse,27,0.5,0.65,100,128,6,0.0,R + full_information_amplitude,True
collapse,28,0.5,0.65,100,128,6,0.0,R + full_information_amplitude,True
collapse,29,0.5,0.65,100,128,6,0.0,R + full_information_amplitude,True
collapse,30,0.5,0.65,100,128,6,0.0,R + full_information_amplitude,True
collapse,31,0.5,0.65,100,128,6,0.0,R + full_information_amplitude,True
collapse,32,0.5,0.65,100,128,6,0.0,R + full_information_amplitude,True
collapse,33,0.5,0.65,100,128,6,0.0,R + full_information_amplitude,True
collapse,34,0.5,0.65,100,128,6,0.0,R + full_information_amplitude,True
collapse,35,0.5,0.65,100,128,6,0.0,R + full_information_amplitude,True
collapse,36,0.5,0.65,100,128,6,0.0,R + full_information_amplitude,True
collapse,37,0.5,0.65,100,128,6,0.0,R + full_information_amplitude,True
collapse,38,0.5,0.65,100,128,6,0.0,R + full_information_amplitude,True
collapse,39,0.5,0.65,100,128,6,0.0,R + full_information_amplitude,True
collapse,40,0.5,0.65,100,128,6,0.0,R + full_information_amplitude,True
collapse,41,0.5,0.65,100,128,6,0.0,R + full_information_amplitude,True
collapse,42,0.5,0.65,100,128,6,0.0,R + full_information_amplitude,True
collapse,43,0.5,0.65,100,128,6,0.0,R + full_information_amplitude,True
collapse,44,0.5,0.65,100,128,6,0.0,R + full_information_amplitude,True
collapse,45,0.5,0.65,100,128,6,0.0,R + full_information_amplitude,True
collapse,46,0.5,0.65,100,128,6,0.0,R + full_information_amplitude,True
collapse,47,0.5,0.65,100,128,6,0.0,R + full_information_amplitude,True
collapse,48,0.5,0.65,100,128,6,0.0,R + full_information_amplitude,True
collapse,49,0.5,0.65,100,128,6,0.0,R + full_information_amplitude,True
collapse,50,0.5,0.65,100,128,6,0.0,R + full_information_amplitude,True
